当前时间:12:30:00    当前价格:7.080000 波动价格:0.0 初始波动:-0.72,比率0.0923%
当前时间:09:30:36    当前价格:7.170000 波动价格:0.09 初始波动:0.09,比率0.0127%
当前时间:09:30:38    当前价格:7.170000 波动价格:0.0 初始波动:0.09,比率0.0127%
当前时间:09:30:40    当前价格:7.170000 波动价格:0.0 初始波动:0.09,比率0.0127%
当前时间:09:30:41    当前价格:7.100001 波动价格:-0.069999 初始波动:0.020001,比率0.0028%
当前时间:09:30:47    当前价格:7.100001 波动价格:0.0 初始波动:0.020001,比率0.0028%
当前时间:09:30:54    当前价格:7.100001 波动价格:0.0 初始波动:0.020001,比率0.0028%
当前时间:09:30:55    当前价格:7.170000 波动价格:0.069999 初始波动:0.09,比率0.0127%
当前时间:09:30:56    当前价格:7.170000 波动价格:0.0 初始波动:0.09,比率0.0127%
当前时间:09:30:59    当前价格:7.200000 波动价格:0.03 初始波动:0.12,比率0.0169%
当前时间:09:31:02    当前价格:7.200000 波动价格:0.0 初始波动:0.12,比率0.0169%
当前时间:09:31:03    当前价格:7.200000 波动价格:0.0 初始波动:0.12,比率0.0169%
当前时间:09:31:04    当前价格:7.200000 波动价格:0.0 初始波动:0.12,比率0.0169%
当前时间:09:31:05    当前价格:7.200000 波动价格:0.0 初始波动:0.12,比率0.0169%
当前时间:09:31:10    当前价格:7.210000 波动价格:0.01 初始波动:0.13,比率0.0184%
当前时间:09:31:12    当前价格:7.210000 波动价格:0.0 初始波动:0.13,比率0.0184%
当前时间:09:31:14    当前价格:7.300000 波动价格:0.09 初始波动:0.22,比率0.0311%
当前时间:09:31:16    当前价格:7.300000 波动价格:0.0 初始波动:0.22,比率0.0311%
当前时间:09:31:17    当前价格:7.200000 波动价格:-0.1 初始波动:0.12,比率0.0169%
当前时间:09:31:18    当前价格:7.350000 波动价格:0.15 初始波动:0.27,比率0.0381%
当前时间:09:31:20    当前价格:7.300000 波动价格:-0.05 初始波动:0.22,比率0.0311%
当前时间:09:31:21    当前价格:7.210000 波动价格:-0.09 初始波动:0.13,比率0.0184%
当前时间:09:31:23    当前价格:7.310000 波动价格:0.1 初始波动:0.23,比率0.0325%
当前时间:09:31:24    当前价格:7.200000 波动价格:-0.11 初始波动:0.12,比率0.0169%
当前时间:09:31:25    当前价格:7.300000 波动价格:0.1 初始波动:0.22,比率0.0311%
当前时间:09:31:26    当前价格:7.300000 波动价格:0.0 初始波动:0.22,比率0.0311%
当前时间:09:31:27    当前价格:7.300000 波动价格:0.0 初始波动:0.22,比率0.0311%
当前时间:09:31:29    当前价格:7.200000 波动价格:-0.1 初始波动:0.12,比率0.0169%
当前时间:09:31:30    当前价格:7.299000 波动价格:0.099 初始波动:0.219,比率0.0309%
当前时间:09:31:31    当前价格:7.300000 波动价格:0.001 初始波动:0.22,比率0.0311%
当前时间:09:31:32    当前价格:7.290000 波动价格:-0.01 初始波动:0.21,比率0.0297%
当前时间:09:31:33    当前价格:7.100000 波动价格:-0.19 初始波动:0.02,比率0.0028%
当前时间:09:31:35    当前价格:7.200000 波动价格:0.1 初始波动:0.12,比率0.0169%
当前时间:09:31:36    当前价格:7.200000 波动价格:0.0 初始波动:0.12,比率0.0169%
当前时间:09:31:37    当前价格:7.170000 波动价格:-0.03 初始波动:0.09,比率0.0127%
当前时间:09:31:38    当前价格:7.100000 波动价格:-0.07 初始波动:0.02,比率0.0028%
当前时间:09:31:40    当前价格:7.200000 波动价格:0.1 初始波动:0.12,比率0.0169%
当前时间:09:31:42    当前价格:7.100001 波动价格:-0.099999 初始波动:0.020001,比率0.0028%
当前时间:09:31:44    当前价格:7.100001 波动价格:0.0 初始波动:0.020001,比率0.0028%
当前时间:09:31:46    当前价格:7.080000 波动价格:-0.020001 初始波动:0.0,比率0.0%
当前时间:09:31:47    当前价格:7.200000 波动价格:0.12 初始波动:0.12,比率0.0169%
当前时间:09:31:48    当前价格:7.200000 波动价格:0.0 初始波动:0.12,比率0.0169%
当前时间:09:31:49    当前价格:7.200000 波动价格:0.0 初始波动:0.12,比率0.0169%
当前时间:09:31:50    当前价格:7.060000 波动价格:-0.14 初始波动:-0.02,比率0.0028%
当前时间:09:31:51    当前价格:7.110000 波动价格:0.05 初始波动:0.03,比率0.0042%
当前时间:09:31:55    当前价格:7.060000 波动价格:-0.05 初始波动:-0.02,比率0.0028%
当前时间:09:31:56    当前价格:7.199000 波动价格:0.139 初始波动:0.119,比率0.0168%
当前时间:09:31:58    当前价格:7.190000 波动价格:-0.009 初始波动:0.11,比率0.0155%
当前时间:09:31:59    当前价格:7.190000 波动价格:0.0 初始波动:0.11,比率0.0155%
当前时间:09:32:00    当前价格:7.060000 波动价格:-0.13 初始波动:-0.02,比率0.0028%
当前时间:09:32:02    当前价格:7.010000 波动价格:-0.05 初始波动:-0.07,比率0.0099%
当前时间:09:32:05    当前价格:7.060000 波动价格:0.05 初始波动:-0.02,比率0.0028%
当前时间:09:32:06    当前价格:7.190000 波动价格:0.13 初始波动:0.11,比率0.0155%
当前时间:09:32:07    当前价格:7.000000 波动价格:-0.19 初始波动:-0.08,比率0.0113%
当前时间:09:32:08    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:10    当前价格:7.060000 波动价格:0.06 初始波动:-0.02,比率0.0028%
当前时间:09:32:11    当前价格:7.000000 波动价格:-0.06 初始波动:-0.08,比率0.0113%
当前时间:09:32:13    当前价格:7.060000 波动价格:0.06 初始波动:-0.02,比率0.0028%
当前时间:09:32:15    当前价格:7.000100 波动价格:-0.0599 初始波动:-0.0799,比率0.0113%
当前时间:09:32:17    当前价格:7.000000 波动价格:-0.0001 初始波动:-0.08,比率0.0113%
当前时间:09:32:19    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:20    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:21    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:22    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:23    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:24    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:25    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:26    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:28    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:29    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:30    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:31    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:32    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:33    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:34    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:35    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:39    当前价格:7.000000 波动价格:0.0 初始波动:-0.08,比率0.0113%
当前时间:09:32:40    当前价格:6.900000 波动价格:-0.1 初始波动:-0.18,比率0.0254%
当前时间:09:32:43    当前价格:7.000000 波动价格:0.1 初始波动:-0.08,比率0.0113%
当前时间:09:32:48    当前价格:6.900000 波动价格:-0.1 初始波动:-0.18,比率0.0254%
当前时间:09:32:51    当前价格:6.900000 波动价格:0.0 初始波动:-0.18,比率0.0254%
当前时间:09:32:52    当前价格:7.000000 波动价格:0.1 初始波动:-0.08,比率0.0113%
当前时间:09:32:54    当前价格:6.890000 波动价格:-0.11 初始波动:-0.19,比率0.0268%
当前时间:09:32:55    当前价格:7.000000 波动价格:0.11 初始波动:-0.08,比率0.0113%
当前时间:09:33:01    当前价格:6.900001 波动价格:-0.099999 初始波动:-0.179999,比率0.0254%
当前时间:09:33:03    当前价格:6.832300 波动价格:-0.067701 初始波动:-0.2477,比率0.035%
当前时间:09:33:04    当前价格:6.900000 波动价格:0.0677 初始波动:-0.18,比率0.0254%
当前时间:09:33:05    当前价格:6.800000 波动价格:-0.1 初始波动:-0.28,比率0.0395%
当前时间:09:33:06    当前价格:6.800000 波动价格:0.0 初始波动:-0.28,比率0.0395%
当前时间:09:33:09    当前价格:6.800000 波动价格:0.0 初始波动:-0.28,比率0.0395%
当前时间:09:33:10    当前价格:6.800000 波动价格:0.0 初始波动:-0.28,比率0.0395%
当前时间:09:33:11    当前价格:6.800000 波动价格:0.0 初始波动:-0.28,比率0.0395%
当前时间:09:33:12    当前价格:6.760000 波动价格:-0.04 初始波动:-0.32,比率0.0452%
当前时间:09:33:13    当前价格:6.800000 波动价格:0.04 初始波动:-0.28,比率0.0395%
当前时间:09:33:15    当前价格:6.700000 波动价格:-0.1 初始波动:-0.38,比率0.0537%
当前时间:09:33:17    当前价格:6.700000 波动价格:0.0 初始波动:-0.38,比率0.0537%
当前时间:09:33:20    当前价格:6.700000 波动价格:0.0 初始波动:-0.38,比率0.0537%
当前时间:09:33:21    当前价格:6.660000 波动价格:-0.04 初始波动:-0.42,比率0.0593%
当前时间:09:33:22    当前价格:6.660000 波动价格:0.0 初始波动:-0.42,比率0.0593%
当前时间:09:33:23    当前价格:6.660000 波动价格:0.0 初始波动:-0.42,比率0.0593%
当前时间:09:33:24    当前价格:6.700000 波动价格:0.04 初始波动:-0.38,比率0.0537%
当前时间:09:33:25    当前价格:6.700000 波动价格:0.0 初始波动:-0.38,比率0.0537%
当前时间:09:33:26    当前价格:6.700000 波动价格:0.0 初始波动:-0.38,比率0.0537%
当前时间:09:33:29    当前价格:6.700000 波动价格:0.0 初始波动:-0.38,比率0.0537%
当前时间:09:33:30    当前价格:6.700000 波动价格:0.0 初始波动:-0.38,比率0.0537%
当前时间:09:33:31    当前价格:6.700000 波动价格:0.0 初始波动:-0.38,比率0.0537%
当前时间:09:33:32    当前价格:6.660000 波动价格:-0.04 初始波动:-0.42,比率0.0593%
当前时间:09:33:34    当前价格:6.710000 波动价格:0.05 初始波动:-0.37,比率0.0523%
当前时间:09:33:35    当前价格:6.710000 波动价格:0.0 初始波动:-0.37,比率0.0523%
当前时间:09:33:36    当前价格:6.710000 波动价格:0.0 初始波动:-0.37,比率0.0523%
当前时间:09:33:37    当前价格:6.710000 波动价格:0.0 初始波动:-0.37,比率0.0523%
当前时间:09:33:39    当前价格:6.720000 波动价格:0.01 初始波动:-0.36,比率0.0508%
当前时间:09:33:40    当前价格:6.800000 波动价格:0.08 初始波动:-0.28,比率0.0395%
当前时间:09:33:45    当前价格:6.800000 波动价格:0.0 初始波动:-0.28,比率0.0395%
当前时间:09:33:46    当前价格:6.720000 波动价格:-0.08 初始波动:-0.36,比率0.0508%
当前时间:09:33:58    当前价格:6.810000 波动价格:0.09 初始波动:-0.27,比率0.0381%
当前时间:09:33:59    当前价格:6.810000 波动价格:0.0 初始波动:-0.27,比率0.0381%
当前时间:09:34:00    当前价格:6.890000 波动价格:0.08 初始波动:-0.19,比率0.0268%
当前时间:09:34:02    当前价格:6.890000 波动价格:0.0 初始波动:-0.19,比率0.0268%
当前时间:09:34:03    当前价格:6.820000 波动价格:-0.07 初始波动:-0.26,比率0.0367%
当前时间:09:34:05    当前价格:6.890000 波动价格:0.07 初始波动:-0.19,比率0.0268%
当前时间:09:34:06    当前价格:6.820000 波动价格:-0.07 初始波动:-0.26,比率0.0367%
当前时间:09:34:08    当前价格:6.990000 波动价格:0.17 初始波动:-0.09,比率0.0127%
