当前时间:12:30:00    当前价格:4.353000 波动价格:0.0 初始波动:0.0,比率0.0%
当前时间:09:30:00    当前价格:4.352000 波动价格:-0.001 初始波动:-0.001,比率0.0002%
当前时间:09:30:06    当前价格:4.230000 波动价格:-0.122 初始波动:-0.123,比率0.0283%
当前时间:09:30:07    当前价格:4.128000 波动价格:-0.102 初始波动:-0.225,比率0.0517%
当前时间:09:30:08    当前价格:3.580000 波动价格:-0.548 初始波动:-0.773,比率0.1776%
当前时间:09:30:11    当前价格:3.482400 波动价格:-0.0976 初始波动:-0.8706,比率0.2%
当前时间:09:30:12    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:30:14    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:30:15    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:30:17    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:30:23    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:30:27    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:30:34    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:30:38    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:30:39    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:30:42    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:30:47    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:30:49    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:30:56    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:30:57    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:30:58    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:31:02    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:31:03    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:31:04    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:31:05    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:31:09    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:31:11    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:31:14    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:31:15    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:31:16    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:31:17    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:31:18    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:31:20    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:31:21    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
当前时间:09:31:22    当前价格:3.482400 波动价格:0.0 初始波动:-0.8706,比率0.2%
